rank,feature,importance
1,magnitude_bin_2|energy,1058.313948880219
2,color_energy|median,916.3899392824278
3,r_com_x1|max,859.3968248334968
4,magnitude_bin_3|energy,857.5897371046249
5,colorfulnesss|max,810.4572690012692
6,magnitude_bin_3|mean,752.8255155730494
7,dominant_color_1_R|skewness,719.689030304653
8,kurtosis|max,690.2803316075624
9,mean_saturation|max,686.4097274917294
10,spectral_rolloff|energy,652.4389879443952
11,spectral_variation|kurtosis,644.9565467296288
12,magnitude_bin_2|median,635.7710906302564
13,skewness|median,635.6592911156586
14,spectral_flux|skewness,634.7428246006202
15,magnitude_bin_0|kurtosis,627.5873247659656
16,magnitude_bin_6|skewness,621.2171103739565
17,spectral_flux|energy,606.1855691292731
18,magnitude_bin_1|slope,601.8053994009133
19,magnitude_bin_4|slope,597.361320610049
20,spec_bw_time|max,584.2517694282942
