rank,feature,importance
1,r_com_x1|max,4604.0
2,spectral_flux|skewness,4441.0
3,color_energy|median,4427.0
4,dominant_color_2_R|std,4403.0
5,magnitude_bin_0|kurtosis,4331.0
6,colorfulnesss|max,4254.0
7,mean_saturation|max,4216.0
8,spectral_rolloff|energy,4208.0
9,spec_bw_time|max,4091.0
10,dominant_color_1_R|skewness,4091.0
11,skewness|skewness,4039.0
12,magnitude_bin_1|slope,4022.0
13,spectral_variation|kurtosis,4006.0
14,magnitude_bin_4|slope,4002.0
15,mean_brightness|kurtosis,3825.0
16,colorfulnesss|median,3794.0
17,magnitude_bin_0|max,3789.0
18,spectral_rolloff|max,3747.0
19,spectral_variation|min,3743.0
20,spectral_decrease|mean,3700.0
