rank,feature,importance
1,mean_brightness|median,556.2504941858424
2,color_activity|max,531.1447846487481
3,color_energy|energy,517.5987016021836
4,color_energy|mean,341.4477255695838
5,magnitude_bin_0|median,337.51633622529243
6,colorfulnesss|max,331.22007793637795
7,magnitude_bin_0|max,314.4317803022259
8,magnitude_bin_0|kurtosis,311.27058314542046
9,spectral_variation|min,296.6350094323807
10,colorfulnesss|median,288.41870382607885
11,magnitude_bin_7|median,284.91532913874835
12,mean_saturation|mean,284.83582237861174
13,colorfulnesss|energy,283.49346793266386
14,spread|max,283.31499704954695
15,skewness|skewness,282.23079937851617
16,color_energy|max,277.56419276885936
17,spectral_decrease|median,273.48598666925864
18,kurtosis|skewness,272.68222066540966
19,magnitude_bin_2|max,263.5619611880056
20,magnitude_bin_4|max,263.49406493193146
