rank,feature,importance
1,mean_brightness|median,4518.0
2,magnitude_bin_1|slope,4511.0
3,spectral_rolloff|kurtosis,4245.0
4,spread|kurtosis,4130.0
5,skewness|kurtosis,4103.0
6,spec_bw_time|max,4103.0
7,spectral_variation|median,4084.0
8,magnitude_bin_0|kurtosis,4071.0
9,skewness|skewness,4067.0
10,spectral_flux|skewness,4057.0
11,spectral_variation|min,3942.0
12,color_activity|max,3884.0
13,spectral_flux|max,3846.0
14,spec_bw_time|median,3821.0
15,colorfulnesss|max,3805.0
16,magnitude_bin_0|max,3797.0
17,magnitude_bin_1|kurtosis,3766.0
18,colorfulnesss|median,3733.0
19,kurtosis|skewness,3730.0
20,magnitude_bin_5|skewness,3719.0
