feature,mean_rel_importance
magnitude_bin_3|mean,0.030890216189299893
magnitude_bin_3|energy,0.02208737151355858
magnitude_bin_2|energy,0.019866778446708117
r_com_x1|max,0.019616457922509514
dominant_color_1_R|skewness,0.015047973716614569
pcm_loudness_sma|median,0.013503391128194635
colorfulnesss|max,0.013477715721420945
color_energy|median,0.013040055102193119
motion_continuity|median,0.012476799106945316
lspFreq[3]|max,0.01168051835911975
sub_ons_2|median,0.010939129719838717
magnitude_bin_4|slope,0.010281989604488423
spec_contr_5|max,0.010173235938706402
chroma_cqt_3|min,0.009830090460273642
spec_contr_2|median,0.009273147179286189
tonal_centroid_3|min,0.009195775419055972
chroma_cqt_4|energy,0.00914624345495524
sub_ons_3|std,0.008741496150379939
mfcc[5]|min,0.008649961484606812
lspFreq[6]|median,0.008625012921264148
