feature,mean_rel_importance
dominant_color_1_R|skewness,0.0105562338747345
r_com_x1|max,0.010487774852921026
F0|slope,0.010381533321636487
chroma_cqt_11|kurtosis,0.01017990143054389
dominant_color_2_R|std,0.009828987775030702
mean_saturation|max,0.009785087116829823
mfcc[12]|median,0.009733518385886684
lspFreq_sma[1]|kurtosis,0.009700813660188585
colorfulnesss|max,0.009679567768656222
color_energy|median,0.00962553912782318
fast_motion|kurtosis,0.009378728184993565
chroma_cqt_4|energy,0.009128637800997593
chroma_cqt_3|median,0.009111255420615487
mfcc_sma[8]|slope,0.00904182507937159
r_com_x2|skewness,0.00899435544841273
fast_motion|skewness,0.008987534849669467
lspFreq_sma[6]|kurtosis,0.008902882841610829
tempogram_32_63|kurtosis,0.008896047508297783
magnitude_bin_4|slope,0.008844290755692982
lspFreq[5]|kurtosis,0.008836700614069442
