feature,mean_rel_importance
color_energy|energy,0.043261535485858635
mean_brightness|median,0.026337020299547046
colorfulnesss|max,0.02077806795671659
color_activity|max,0.019794418941699865
color_energy|mean,0.01293121956359843
chroma_cqt_5|max,0.012227137262587685
magnitude_bin_2|max,0.011736446197955268
lspFreq_sma[2]|max,0.010794090601819226
magnitude_bin_1|slope,0.010751706659612763
fast_motion|max,0.010626266194116198
lspFreq[6]|median,0.010597299385173597
mfcc[6]|min,0.010173231029744859
mfcc_sma[7]|median,0.009661883751640133
rms_energy|skewness,0.009434404631245195
color_energy|max,0.00931434979896069
kurtosis|skewness,0.009207107930890447
mfcc[9]|median,0.009156596306116543
tempogram_224_255|max,0.009044528216129192
colorfulnesss|energy,0.00875966055898011
pcm_zcr_sma|median,0.008480798485239345
